,imdb,kills,title,year
367,tt0388482,11,Transporter 2,2005
368,tt0332452,572,Troy,2004
369,tt0111503,71,True Lies,1994
370,tt0108399,21,True Romance,1993
371,tt217869,4,Unbreakable,2000
372,tt0105690,65,Under Siege,1992
373,tt0114781,47,Under Siege 2,1995
374,tt0320691,58,Underworld,2003
375,tt0401855,75,Underworld: Evolution,2006
376,tt0105698,47,Universal Soldier,1992
377,tt0114814,39,The Usual Suspects,1995
378,tt0434409,59,V for Vendetta,2006
379,tt0985699,18,Valkyrie,2008
380,tt0398378,53,Vampires: The Turning,2005
381,tt0275773,127,Versus,2000
382,tt0086541,8,Videodrome,1983
383,tt0090264,37,A View To A Kill,1985
384,tt0456020,6,Waist Deep,2006
385,tt0841046,5,Walk Hard:,2007
386,tt0351977,6,Walking Tall,2004
387,tt0499556,97,War,2007
388,tt0884224,73,"War, Inc.",2008
389,tt0407304,52,War or the Worlds,2005
390,tt0281364,22,Wasabi,2001
391,tt0202677,18,The Way of the Gun,2000
392,tt0277434,305,We Were Soldiers,2002
393,tt0065207,100,Where Eagles Dare,1968
394,tt0065214,145,The Wild Bunch,1969
395,tt0120903,6,X-Men,2000
396,tt0290334,26,X2: X-Men United,2000
397,tt0376994,57,X-Men:,2006
398,tt0295701,75,XXX,2002
399,tt0329774,66,XXX: State of the Union,2005
400,tt0073918,31,The Yakuza,1974
401,tt0138946,2,The Yards,2000
402,tt0796375,10,You Kill Me,2007
403,tt0062512,91,You Only Live Twice,1967
404,tt0443706,3,Zodiac,2007
405,tt0196229,4,Zoolander,2001
406,tt0058777,140,Zulu,1964
